,rawindex,zip,ll,district,population,popu_permilesquare,rank,zip_group
63,463.,10925,"41.222743, -74.292681","Greenwood Lake, New York",4986,1274.28,"#5,710",109
64,464.,14450,"43.088447, -77.415761","Fairport, New York",40748,1262.97,"#5,726",144
65,465.,10994,"41.098072, -73.972649","West Nyack, New York",6493,1261.80,"#5,728",109
66,466.,11747,"40.788528, -73.407298","Melville, New York",16152,1245.36,"#5,771",117
67,467.,11953,"40.893285, -72.951799","Middle Island, New York",12364,1243.55,"#5,775",119
68,468.,14051,"43.039886, -78.704186","East Amherst, New York",17991,1212.22,"#5,852",140
69,469.,10913,"41.068258, -73.954975","Blauvelt, New York",5076,1207.75,"#5,858",109
70,470.,12603,"41.675868, -73.864484","Poughkeepsie, New York",41667,1204.08,"#5,869",126
71,471.,11716,"40.776697, -73.134857","Bohemia, New York",10360,1199.21,"#5,881",117
72,472.,12182,"42.801006, -73.637646","Troy, New York",14104,1147.45,"#5,981",121
73,473.,12803,"43.285467, -73.636150","South Glens Falls, New York",7394,1145.43,"#5,984",128
74,474.,11764,"40.934197, -72.975160","Miller Place, New York",11120,1139.01,"#5,996",117
