,nb_code,area,population,lat,lon
122,11003,"Elmont, New York",40507,40.699176,-73.70616600000001
123,11704,"West Babylon, New York",40114,40.717504,-73.358203
124,M6P,"High Park, The Junction South",40035,43.6616083,-79.46476329999999
125,11413,"Springfield Gardens, New York",39827,40.669292999999996,-73.750553
126,11561,"Long Beach, New York",39582,40.589061,-73.651049
127,11357,"Whitestone, New York",39491,40.786415000000005,-73.810924
128,11801,"Hicksville, New York",39449,40.762304,-73.524452
129,11222,"Brooklyn, New York",39360,40.728367,-73.945427
130,11779,"Ronkonkoma, New York",39321,40.812431,-73.116108
131,11040,"New Hyde Park, New York",39157,40.744765,-73.680072
132,M3C,"Flemingdon Park, Don Mills South",39153,43.72589970000001,-79.340923
133,10583,"Scarsdale, New York",39091,40.988682,-73.789204
134,10459,"Bronx, New York",39080,40.825558,-73.893156
135,10304,"Staten Island, New York",38972,40.603589,-74.10247700000001
136,10301,"Staten Island, New York",38805,40.627456,-74.09440699999999
137,10950,"Monroe, New York",38791,41.317294,-74.19753
138,11358,"Flushing, New York",38647,40.760467,-73.796418
139,10305,"Staten Island, New York",38450,40.596691,-74.074866
140,M9C,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",38291,43.6435152,-79.57720079999999
141,10550,"Mount Vernon, New York",38284,40.905448,-73.83525300000001
142,11367,"Flushing, New York",38216,40.730621,-73.82285999999999
143,10705,"Yonkers, New York",38115,40.919705,-73.889928
144,10475,"Bronx, New York",38086,40.875265999999996,-73.826037
145,M6E,Caledonia-Fairbanks,38041,43.6890256,-79.453512
146,M8V,"Humber Bay Shores, Mimico South, New Toronto",37975,43.6056466,-79.50132070000002
147,M1S,Agincourt,37769,43.7942003,-79.26202940000002
148,11580,"Valley Stream, New York",37759,40.6749,-73.70215400000001
149,11421,"Woodhaven, New York",37664,40.693633,-73.858513
150,10455,"Bronx, New York",37465,40.814678,-73.908333
151,11554,"East Meadow, New York",37458,40.720115,-73.558861
152,11412,"Saint Albans, New York",37452,40.696878000000005,-73.76026
153,M3H,"Bathurst Manor, Downsview North, Wilson Heights",37011,43.7543283,-79.4422593
154,M1J,Scarborough Village,36699,43.7447342,-79.23947609999998
155,11418,"Richmond Hill, New York",36571,40.700101000000004,-73.83590799999999
156,10801,"New Rochelle, New York",36322,40.91757,-73.784858
157,10573,"Port Chester, New York",36300,41.018087,-73.679179
158,11102,"Astoria, New York",36291,40.772884000000005,-73.926295
159,11369,"East Elmhurst, New York",36110,40.763513,-73.871961
160,10019,"New York, New York",36012,40.766331,-73.985013
161,M4J,East Toronto,35738,43.685347,-79.3381065
162,M1C,"Highland Creek, Rouge Hill, Port Union",35626,43.7845351,-79.16049709999999
163,11205,"Brooklyn, New York",35622,40.696771000000005,-73.967061
164,11566,"Merrick, New York",35606,40.651637,-73.551927
165,M9A,Islington Avenue,35594,43.6678556,-79.53224240000002
166,11217,"Brooklyn, New York",35353,40.682306,-73.978099
167,M1L,"Clairlea, Golden Mile, Oakridge",35081,43.7111117,-79.2845772
168,10454,"Bronx, New York",34976,40.805528,-73.91663199999999
169,11787,"Smithtown, New York",34794,40.852924,-73.21126
170,M3A,Parkwoods,34615,43.7532586,-79.3296565
171,M1T,"Clarks Corners, Sullivan, Tam O'Shanter",34588,43.7816375,-79.3043021
172,11364,"Oakland Gardens, New York",34539,40.74562,-73.757537
173,11722,"Central Islip, New York",34491,40.785083,-73.192931
174,11710,"Bellmore, New York",34463,40.675775,-73.535668
175,M6S,"Runnymede, Swansea",34299,43.6515706,-79.4844499
176,11378,"Maspeth, New York",34053,40.724744,-73.909639
177,M9R,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",33743,43.6889054,-79.55472440000001
178,11231,"Brooklyn, New York",32974,40.677915999999996,-74.005154
179,11793,"Wantagh, New York",32753,40.650294,-73.514561
180,10035,"New York, New York",32702,40.795487,-73.929501
181,M6J,"Little Portugal, Trinity",32684,43.647926700000006,-79.4197497
182,10014,"New York, New York",32667,40.733471,-74.007098
183,M4L,"The Beaches West, India Bazaar",32640,43.6689985,-79.31557159999998
184,M9B,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",32400,43.6509432,-79.55472440000001
185,11510,"Baldwin, New York",32346,40.653614000000005,-73.60905600000001
186,M2M,"Newtonbrook, Willowdale",32320,43.789053,-79.40849279999998
187,11735,"Farmingdale, New York",32159,40.734243,-73.4286
188,M6G,Christie,32086,43.669542,-79.4225637
189,10952,"Monsey, New York",31947,41.116209999999995,-74.07888100000001
190,M4K,"The Danforth West, Riverdale",31583,43.6795571,-79.352188
191,11731,"East Northport, New York",31250,40.862927,-73.316829
192,11572,"Oceanside, New York",31241,40.630521,-73.637745
193,11423,"Hollis, New York",31240,40.717252,-73.768879
194,10956,"New City, New York",31071,41.156331,-73.99410999999999
195,10562,"Ossining, New York",31035,41.1923,-73.833984
196,10022,"New York, New York",30642,40.758615,-73.967752
197,M4Y,Church and Wellesley,30472,43.6658599,-79.38315990000002
198,11422,"Rosedale, New York",30449,40.63203,-73.766051
199,10026,"New York, New York",30377,40.80232,-73.952943
200,M1R,"Maryvale, Wexford",29858,43.7500715,-79.2958491
201,M1G,Woburn,29690,43.7709921,-79.21691740000001
202,11104,"Sunnyside, New York",29506,40.744515,-73.920457
203,11725,"Commack, New York",29412,40.840996000000004,-73.280948
204,10598,"Yorktown Heights, New York",29368,41.286807,-73.798823
205,11361,"Bayside, New York",29206,40.76437,-73.771869
206,10704,"Yonkers, New York",29158,40.919729,-73.862651
207,11379,"Middle Village, New York",28984,40.715488,-73.87949
208,11417,"Ozone Park, New York",28607,40.676342,-73.844595
209,11050,"Port Washington, New York",28545,40.839895,-73.693128
210,M6B,Glencairn,28522,43.709577,-79.44507259999997
211,11433,"Jamaica, New York",28435,40.698135,-73.787009
212,11729,"Deer Park, New York",28280,40.762698,-73.321445
213,11414,"Howard Beach, New York",28121,40.658217,-73.84482
214,11720,"Centereach, New York",28105,40.869907,-73.081937
215,11741,"Holbrook, New York",27857,40.794354,-73.069968
216,11570,"Rockville Centre, New York",27827,40.665341,-73.638921
217,11803,"Plainview, New York",27767,40.7817,-73.473035
218,11232,"Brooklyn, New York",27723,40.655827,-74.00682900000001
219,11542,"Glen Cove, New York",27693,40.869659999999996,-73.628113
220,11429,"Queens Village, New York",27647,40.709680999999996,-73.738399
221,10309,"Staten Island, New York",27207,40.530846999999994,-74.22117800000001
222,11795,"West Islip, New York",27127,40.708202,-73.303076
223,10541,"Mahopac, New York",26693,41.376999999999995,-73.75383000000001
224,M4S,Davisville,26506,43.7043244,-79.3887901
225,M5R,"The Annex, North Midtown, Yorkville",26496,43.6727097,-79.40567840000001
226,11530,"Garden City, New York",26482,40.728551,-73.631351
227,10308,"Staten Island, New York",26451,40.551235999999996,-74.150961
228,11784,"Selden, New York",26411,40.869063,-73.040402
229,10010,"New York, New York",26408,40.739121999999995,-73.982363
230,11701,"Amityville, New York",26379,40.686412,-73.412398
231,10012,"New York, New York",26000,40.725639,-73.99809
232,M5M,"Bedford Park, Lawrence Manor East",25975,43.7332825,-79.4197497
233,10030,"New York, New York",25847,40.818492,-73.943283
234,11727,"Coram, New York",25603,40.880224,-73.002112
235,11101,"Long Island City, New York",25595,40.746970000000005,-73.93753000000001
236,11001,"Floral Park, New York",25511,40.721416,-73.707982
237,M3J,"Northwood Park, York University",25473,43.7679803,-79.48726190000002
238,10710,"Yonkers, New York",25202,40.967157,-73.846339
239,M9N,Weston,25074,43.706876,-79.51818840000001
240,M4E,The Beaches,25044,43.67635739999999,-79.2930312
241,10013,"New York, New York",25042,40.720067,-74.004829
242,11967,"Shirley, New York",24943,40.805671000000004,-72.879071
243,11010,"Franklin Square, New York",24778,40.700778,-73.675686
244,11763,"Medford, New York",24743,40.823551,-72.980284
245,M4M,Studio District,24689,43.6595255,-79.340923
246,M6C,Humewood-Cedarvale,24596,43.6937813,-79.42819140000002
247,M2H,Hillcrest Village,24497,43.8037622,-79.3634517
248,11762,"Massapequa Park, New York",24471,40.682635,-73.445756
249,11791,"Syosset, New York",24445,40.829724,-73.498525
250,M1H,Cedarbrae,24383,43.773136,-79.23947609999998
251,M3M,Downsview Central,24046,43.7284964,-79.49569740000003
252,10512,"Carmel, New York",23924,41.447747,-73.709884
253,M2K,Bayview Village,23852,43.7869473,-79.385975
254,11416,"Ozone Park, New York",23668,40.684614,-73.849509
255,10303,"Staten Island, New York",23530,40.629884999999994,-74.17413
256,11553,"Uniondale, New York",23452,40.702638,-73.59128299999999
257,10471,"Bronx, New York",23413,40.898117,-73.900227
258,11552,"West Hempstead, New York",23309,40.692979,-73.652416
259,11563,"Lynbrook, New York",23231,40.657306,-73.67414699999999
260,10954,"Nanuet, New York",23189,41.099028999999994,-74.01229599999999
261,11427,"Queens Village, New York",23014,40.729721999999995,-73.7498
262,11714,"Bethpage, New York",23012,40.743967,-73.47998299999999
263,M1M,"Cliffcrest, Cliffside, Scarborough Village West",22913,43.716316,-79.23947609999998
264,11901,"Riverhead, New York",22897,40.924693,-72.648656
265,10310,"Staten Island, New York",22852,40.632515999999995,-74.116461
